"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
32,"10.1016/j.dib.2023.109791","6629; 76207","357972; 4029153","358010; 4029191"
682,"10.1093/forestry/cpad047","6738; 76922","364141; 4067649","364282; 4067790"
373,"10.1007/s11356-023-30383-1","7035; 76575","380435; 4049528","380483; 4049576"
331,"10.1007/s42729-023-01341-0","7133; 76530","385945; 4047093","385988; 4047136"
524,"10.1109/MGRS.2023.3315520","7197; 76737","389522; 4058057","389569; 4058104"
5,"10.37427/botcro-2023-010","7365; 7366","398644; 398689","398688; 398733"
73,"10.1016/j.dib.2023.109607","7416; 76248","401355; 4032412","401401; 4032458"
263,"10.1007/s11104-023-06302-1","7448; 76459","403142; 4043486","403191; 4043535"
516,"10.17221/223/2023","7496; 76728","405694; 4057603","405740; 4057649"
569,"10.1007/s11356-023-29744-7","7616; 76789","412492; 4060771","412547; 4060826"
631,"10.1080/23818107.2023.2248235","7696; 76863","416915; 4064656","416978; 4064719"
544,"10.1080/09583157.2023.2245985","7728; 76759","418795; 4059147","418842; 4059194"
169,"10.1002/ldr.4894","7820; 76350","423706; 4037861","423774; 4037929"
353,"10.1002/ldr.4883","7924; 76553","429273; 4048311","429331; 4048369"
667,"10.1007/s10482-023-01854-9","7947; 76906","430588; 4066856","430633; 4066901"
